#GENE	BCOM_SCORE	1000G_SCORE	MIN_SCORE	ID
NEFH	6.64548	1.22792	1.22792	-
CUZD1	1.10539	1.11253	1.10539	*
OR4L1	1.20165	0.988741	0.988741	-
ADAMTS2	0.973329	0.998248	0.973329	*
ZFHX4	0.895377	1.56737	0.895377	*
PCDHA11	0.869549	0.907064	0.869549	*
GJA8	0.88996	0.861151	0.861151	-
CHST11	0.879458	0.861151	0.861151	-
ZNF814	6.32305	0.851932	0.851932	-
GABRA5	0.817918	0.993875	0.817918	*
PDZRN3	0.797005	1.14396	0.797005	*
ADGRE1	0.788948	0.8208	0.788948	*
SLC8A3	0.844261	0.782369	0.782369	-
EPB41L4A	0.886468	0.750037	0.750037	-
PCDHGA6	0.726112	1.2574	0.726112	*
POU3F4	0.725799	1.05878	0.725799	*
SHROOM4	1.31463	0.71967	0.71967	-
GRM8	0.728556	0.71967	0.71967	-
ANKRD34C	0.715311	0.731113	0.715311	*
PHF2	7.06096	0.714546	0.714546	-
SLC35F3	0.709886	0.861151	0.709886	*
LHX6	0.697171	0.906009	0.697171	*
NIN	0.676351	1.03322	0.676351	*
POU4F3	0.787994	0.676046	0.676046	-
ARHGEF4	0.85062	0.676046	0.676046	-
TBP	4.19902	0.675847	0.675847	-
GRIA4	0.921614	0.671265	0.671265	-
MAML2	4.49127	0.661992	0.661992	-
C5orf42	0.845219	0.653405	0.653405	-
PCDHA9	0.647352	1.28319	0.647352	*
HCLS1	0.637234	0.867787	0.637234	*
NCOR2	0.636395	0.814387	0.636395	*
SLTM	0.660477	0.635943	0.635943	-
GABRB3	0.643629	0.635943	0.635943	-
EGR2	0.714985	0.635943	0.635943	-
EGFLAM	0.71773	0.632545	0.632545	-
TNC	0.631487	0.856056	0.631487	*
SLC25A28	0.629695	0.731113	0.629695	*
TRPC4	0.908102	0.622387	0.622387	-
HRC	0.610089	0.8208	0.610089	*
HOXD10	0.621073	0.604263	0.604263	-
SORCS1	0.601847	0.811691	0.601847	*
PREX2	0.66166	0.600751	0.600751	-
DCHS2	0.59904	1.67589	0.59904	*
KRTAP10-10	3.38077	0.597373	0.597373	-
REC8	0.595438	0.906009	0.595438	*
PLCB2	0.583586	0.765121	0.583586	*
FAM124A	0.81764	0.581324	0.581324	-
CNTNAP2	0.579149	0.818874	0.579149	*
MYH7	0.577924	1.27973	0.577924	*
TTN	0.574374	1.5456	0.574374	*
FAM47C	1.26923	0.574096	0.574096	-
HOXD3	0.989678	0.573822	0.573822	-
CLEC14A	0.639979	0.573822	0.573822	-
ACRBP	0.567664	0.573822	0.567664	*
MXRA5	0.622736	0.564474	0.564474	-
KIF1B	0.875477	0.564474	0.564474	-
HSPA2	0.564032	0.993875	0.564032	*
FAM47A	0.560708	0.635943	0.560708	*
DCLK1	0.555153	0.574096	0.555153	*
VSIG10	0.554006	0.906009	0.554006	*
FLNC	0.574962	0.552221	0.552221	-
GRM1	0.702043	0.551385	0.551385	-
FAM171B	1.85026	0.551385	0.551385	-
S1PR3	0.549826	0.604263	0.549826	*
KCNH5	0.803552	0.548704	0.548704	-
CCKBR	0.543602	0.604263	0.543602	*
FAM110B	0.543451	0.753753	0.543451	*
TGM6	0.542155	0.892333	0.542155	*
EVA1A	0.534244	0.602005	0.534244	*
EHD3	1.00153	0.531759	0.531759	-
TBX18	0.530809	0.573822	0.530809	*
SNTG2	0.654547	0.529371	0.529371	-
KRT6B	0.64749	0.529371	0.529371	-
HCK	0.528773	0.676046	0.528773	*
GPR39	0.526238	0.573822	0.526238	*
ZNF384	0.642385	0.526108	0.526108	-
PCDHB3	0.525732	0.867787	0.525732	*
MAP4K4	0.524916	0.581324	0.524916	*
TARS2	0.523717	0.604263	0.523717	*
DSPP	32.7936	0.522859	0.522859	-
NCOA3	1.58405	0.521407	0.521407	-
ZNF385D	0.518204	0.753753	0.518204	*
NLRP8	0.515609	0.671265	0.515609	*
PDXDC1	5.01723	0.513372	0.513372	-
CDX4	0.512484	0.753753	0.512484	*
RIMS2	0.506482	0.71967	0.506482	*
MTUS2	0.506412	1.36196	0.506412	*
PCDHA8	0.505059	0.96333	0.505059	*
RYR3	0.503454	0.990343	0.503454	*
MAP2	0.50135	0.8208	0.50135	*
NPAP1	0.741233	0.499806	0.499806	-
CNGA3	0.827841	0.499806	0.499806	-
ATN1	0.552085	0.499806	0.499806	-
MEI1	0.941621	0.499487	0.499487	-
GRID1	1.08122	0.499487	0.499487	-
PCDH10	0.497937	1.11253	0.497937	*
FBXL7	0.497806	0.867787	0.497806	*
SLC46A3	0.497716	0.753753	0.497716	*
TRO	0.527509	0.495683	0.495683	-
SYCP2L	0.850177	0.495683	0.495683	-
ADGRE5	0.758224	0.495683	0.495683	-
HDGFL1	0.49521	0.861151	0.49521	*
FAM175A	0.494599	0.604263	0.494599	*
UMOD	0.494473	0.495683	0.494473	*
MYBPC1	0.494472	0.635943	0.494472	*
SCRT1	0.493574	0.602005	0.493574	*
AP1G1	0.491089	0.526108	0.491089	*
NRXN1	0.486706	0.733854	0.486706	*
USP6	1.18037	0.486032	0.486032	-
MPDZ	0.681421	0.486032	0.486032	-
CACNA1A	0.485407	0.582324	0.485407	*
ZNF121	0.493103	0.481321	0.481321	-
TRIM39-RPP21	0.646323	0.481321	0.481321	-
TMPRSS11D	0.556832	0.481321	0.481321	-
OR52N4	0.636429	0.481321	0.481321	-
NT5C2	0.540914	0.481321	0.481321	-
CPXCR1	0.69551	0.481321	0.481321	-
CLDN8	0.494145	0.481321	0.481321	-
EYS	0.541342	0.480912	0.480912	-
DTHD1	0.477878	0.481321	0.477878	*
SYNPO2	0.476618	0.8208	0.476618	*
PCYT1A	0.550814	0.476258	0.476258	-
EDNRB	0.824258	0.476258	0.476258	-
CDH9	0.541531	0.476258	0.476258	-
IRF7	0.475614	0.481321	0.475614	*
MOK	0.475148	0.906009	0.475148	*
APBA2	0.473524	0.862569	0.473524	*
KLHL34	0.469214	0.481321	0.469214	*
WSCD2	0.56642	0.46911	0.46911	-
SLC17A6	0.936149	0.46911	0.46911	-
AR	0.46869	0.529371	0.46869	*
TUSC3	0.467808	0.604263	0.467808	*
ELOVL3	0.466991	0.602005	0.466991	*
LHFPL5	0.465658	0.602005	0.465658	*
PCDHGA5	0.928602	0.464634	0.464634	-
NUMBL	0.960634	0.464634	0.464634	-
TANC2	0.463266	0.486032	0.463266	*
ALG13	2.39035	0.463098	0.463098	-
GLUL	0.462716	0.602005	0.462716	*
CACNG3	0.462235	0.481321	0.462235	*
GIMAP7	0.460994	0.753753	0.460994	*
FLRT2	0.456095	0.676046	0.456095	*
SIM1	0.455452	0.867787	0.455452	*
HOXB5	0.45392	0.602005	0.45392	*
GIMAP8	0.453664	0.635943	0.453664	*
F8	0.453088	0.573822	0.453088	*
CYLD	0.452696	0.481321	0.452696	*
GIGYF2	0.450961	0.476258	0.450961	*
VTA1	0.450938	0.602005	0.450938	*
PCDH11Y	0.450757	0.450757	0.450757	*
CCL7	0.450757	0.450757	0.450757	*
CARD11	0.551833	0.450444	0.450444	-
ARAP1	0.49023	0.450444	0.450444	-
KCNA1	0.450419	0.481321	0.450419	*
HECW1	0.450197	1.03322	0.450197	*
NOTCH1	0.449901	0.661992	0.449901	*
TRIO	0.448651	0.918347	0.448651	*
WDR66	0.448454	0.622387	0.448454	*
TIE1	0.600808	0.44752	0.44752	-
DCDC5	0.872292	0.44752	0.44752	-
CDC42BPA	0.598327	0.44752	0.44752	-
MSN	0.446646	0.481321	0.446646	*
CSMD2	0.44645	0.556758	0.44645	*
MTMR1	0.446006	0.481321	0.446006	*
PIK3CG	0.44584	1.36746	0.44584	*
ELAC2	0.442833	0.604263	0.442833	*
TYR	0.442336	0.481321	0.442336	*
NKX2-6	0.44218	0.602005	0.44218	*
SEMA5B	0.442149	0.988741	0.442149	*
GRIK1	0.441713	0.529371	0.441713	*
TRIB2	0.441502	0.635943	0.441502	*
STC2	0.579615	0.441123	0.441123	-
RHOJ	0.747801	0.441123	0.441123	-
PPP4R1	0.543027	0.441123	0.441123	-
PHLDA1	0.92461	0.441123	0.441123	-
OTOP2	0.564235	0.441123	0.441123	-
KRT5	0.660086	0.441123	0.441123	-
DAGLB	0.516031	0.441123	0.441123	-
CDH24	0.539413	0.441123	0.441123	-
SLC16A6	0.440425	0.731113	0.440425	*
ANK2	0.552795	0.436013	0.436013	-
FRMPD3	0.434744	0.44752	0.434744	*
GPC6	0.434721	0.481321	0.434721	*
RP1L1	0.508807	0.432927	0.432927	-
PLEKHG4B	0.429814	0.811691	0.429814	*
NPHS1	0.506714	0.429575	0.429575	-
NLRP7	0.490772	0.429575	0.429575	-
MYBPC3	0.560808	0.429575	0.429575	-
EPHB6	0.613067	0.429575	0.429575	-
ADRA2B	0.428698	0.604263	0.428698	*
CACNA1B	0.428497	0.714402	0.428497	*
UNC80	0.427557	0.463098	0.427557	*
USF3	0.825603	0.426849	0.426849	-
PCDH15	0.983184	0.426849	0.426849	-
MCAM	0.423738	0.526108	0.423738	*
ALG10B	0.422044	0.602005	0.422044	*
FLNA	0.42152	0.437948	0.42152	*
ZNF727	0.488593	0.421306	0.421306	-
WIPF1	0.446689	0.421306	0.421306	-
