#GENE	BCOM_SCORE	1000G_SCORE	MIN_SCORE	ID
APC	45.4031	56.8757	45.4031	*
TP53	40.83	43.8666	40.83	*
KRAS	33.2549	32.8072	32.8072	-
PIK3CA	21.3043	22.7367	21.3043	*
BRAF	8.81924	9.81169	8.81924	*
RYR2	8.01805	13.8351	8.01805	*
SOX9	7.88241	9.63815	7.88241	*
FBXW7	7.01633	10.9282	7.01633	*
SMAD4	6.20603	6.78959	6.20603	*
RNF43	5.40644	6.0842	5.40644	*
AMER1	5.31903	9.07048	5.31903	*
PCDH17	5.09896	8.18359	5.09896	*
DSCAM	4.96019	7.91012	4.96019	*
CDH10	4.72506	6.79054	4.72506	*
CR1	11.7706	4.66294	4.66294	-
TCF7L2	4.64097	7.37132	4.64097	*
ACVR2A	4.51432	5.31191	4.51432	*
CTNNB1	4.32577	4.45313	4.32577	*
BRWD3	4.25015	5.71452	4.25015	*
FRG1	32.6865	4.21841	4.21841	-
USP9X	4.18773	5.9261	4.18773	*
NALCN	4.17596	7.70373	4.17596	*
TCERG1	4.09112	6.90733	4.09112	*
NRXN1	4.05453	5.91076	4.05453	*
WBSCR17	4.49359	4.03286	4.03286	-
CDC27	4.55782	3.94735	3.94735	-
MCF2	3.89488	3.99278	3.89488	*
CACNA2D1	3.95723	3.8853	3.8853	-
CHD4	3.88008	6.2559	3.88008	*
PRKCI	4.93318	3.85928	3.85928	-
GRIK2	3.83073	5.33152	3.83073	*
PCDH11X	3.75972	6.14648	3.75972	*
ZC3H13	3.70893	6.56645	3.70893	*
HECW1	3.68358	6.9567	3.68358	*
BMPR2	3.67789	5.70315	3.67789	*
TRPC4	3.6398	4.61819	3.6398	*
TRIP12	3.63692	5.07193	3.63692	*
SF3B1	3.60302	4.24748	3.60302	*
SCN2A	3.59728	5.35074	3.59728	*
MTOR	3.56269	4.96058	3.56269	*
FOLH1	3.5518	5.17443	3.5518	*
BRINP3	3.5505	6.32818	3.5505	*
ACVR1B	3.54997	4.17537	3.54997	*
PRPF8	3.53061	4.035	3.53061	*
SMC1A	3.69241	3.50183	3.50183	-
DCAF4L2	3.49717	4.22096	3.49717	*
CDH9	3.49575	4.53574	3.49575	*
NBEA	3.4934	7.07155	3.4934	*
CTNNA2	3.46716	4.91556	3.46716	*
ARHGAP36	3.43879	4.33678	3.43879	*
MAGI2	3.36823	4.27989	3.36823	*
PHF20L1	3.35334	4.58961	3.35334	*
TSHZ3	3.34696	6.90654	3.34696	*
TENM1	3.3351	6.49328	3.3351	*
KCNH1	3.32961	4.94359	3.32961	*
STAG1	3.30309	3.74617	3.30309	*
KCNA4	3.28959	4.40628	3.28959	*
CACNA1C	6.32647	3.2884	3.2884	-
DOCK3	3.28436	5.66405	3.28436	*
TRPS1	3.28323	7.85313	3.28323	*
GRIA2	3.26314	4.65759	3.26314	*
TCEB3CL	4.38704	3.26099	3.26099	-
HUWE1	3.25898	6.52709	3.25898	*
SMAD2	3.42983	3.25158	3.25158	-
