#GENE	BCOM_SCORE	1000G_SCORE	MIN_SCORE	ID
KRAS	32.8722	32.349	32.349	-
TP53	27.6733	30.3412	27.6733	*
PIK3CA	21.3304	22.7242	21.3304	*
BRAF	8.76321	9.39243	8.76321	*
RYR2	6.79208	12.2519	6.79208	*
PCDH17	5.02888	8.03048	5.02888	*
SMAD4	4.7954	5.57092	4.7954	*
CTNNB1	4.31086	4.47141	4.31086	*
FRG1	31.1143	3.94197	3.94197	-
FBXW7	3.92761	6.86325	3.92761	*
BRWD3	3.72289	4.94245	3.72289	*
CDC27	4.14607	3.63251	3.63251	-
SCN2A	3.59686	4.97143	3.59686	*
WBSCR17	4.0381	3.52099	3.52099	-
NRXN1	3.51296	5.02276	3.51296	*
NALCN	3.49093	6.47801	3.49093	*
PCDH11X	3.48773	5.88189	3.48773	*
DSCAM	3.45804	6.12664	3.45804	*
DCAF4L2	3.39539	4.0521	3.39539	*
TRPC4	3.37603	4.38991	3.37603	*
SF3B1	3.24921	3.81811	3.24921	*
ARHGAP36	3.22335	4.17024	3.22335	*
CDH9	3.18518	3.88021	3.18518	*
GRIA2	3.12519	4.37862	3.12519	*
BAGE3	3.2186	3.1014	3.1014	-
PRPF8	3.09611	3.45126	3.09611	*
CTNNA2	3.08383	4.32288	3.08383	*
HECW1	3.03123	6.47302	3.03123	*
PRKCI	3.7522	2.98141	2.98141	-
BRINP3	2.97409	5.69063	2.97409	*
CACNA1C	6.06201	2.972	2.972	-
STAG1	2.95804	3.05654	2.95804	*
TRPC3	2.94226	4.0056	2.94226	*
CDH10	2.93429	4.69035	2.93429	*
MTOR	2.90154	4.57837	2.90154	*
TUBA3C	2.86026	3.3365	2.86026	*
TRPS1	2.81253	7.28064	2.81253	*
TCEB3CL	3.81843	2.79794	2.79794	-
PCMTD1	2.76452	3.09715	2.76452	*
HUWE1	2.75126	5.87402	2.75126	*
TSHZ3	2.75071	6.04849	2.75071	*
SMC1A	2.77359	2.74618	2.74618	-
TPTE	5.0178	2.7393	2.7393	-
MCF2	2.72961	2.76485	2.72961	*
LRFN5	2.68802	2.72862	2.68802	*
PGM5	2.76455	2.68698	2.68698	-
NRAS	2.68318	2.95181	2.68318	*
CACNA2D1	2.9034	2.66382	2.66382	-
GRIK2	2.66117	4.17106	2.66117	*
TRPC5	2.66079	3.05271	2.66079	*
KLHL4	2.66012	3.43176	2.66012	*
CDH18	2.65912	4.0178	2.65912	*
USP9X	2.6307	3.71421	2.6307	*
GLUD2	2.60278	2.79642	2.60278	*
CHD4	2.57371	5.0207	2.57371	*
KCNH1	2.5647	4.10251	2.5647	*
FOLH1	2.55475	3.93708	2.55475	*
TPTE2	2.5448	3.28106	2.5448	*
AFF2	2.51609	4.36256	2.51609	*
ACVR1B	2.4717	3.02643	2.4717	*
PTPRT	2.46852	5.86888	2.46852	*
CDH2	2.46702	5.03712	2.46702	*
CHRM2	2.46364	3.82633	2.46364	*
CNOT1	2.46295	4.14116	2.46295	*
FBXL7	2.45816	3.37635	2.45816	*
ATP1A3	2.44432	2.6456	2.44432	*
ERBB4	2.43385	5.19573	2.43385	*
CACNA1E	2.42489	7.2888	2.42489	*
MYH7	2.42091	4.32707	2.42091	*
CSGALNACT2	2.41925	3.53434	2.41925	*
PCDH10	2.41378	6.12131	2.41378	*
EBPL	2.41123	3.13994	2.41123	*
ZFHX4	2.40425	7.4636	2.40425	*
PCBP1	2.40119	2.70675	2.40119	*
MED12	2.39631	4.26874	2.39631	*
ENC1	2.37256	2.69445	2.37256	*
GABRA5	2.36948	3.21962	2.36948	*
ZNF423	2.3329	4.69739	2.3329	*
KCTD1	2.31907	2.8638	2.31907	*
TLE4	2.55533	2.30786	2.30786	-
NBEA	2.29699	5.0286	2.29699	*
ZNF835	2.28989	3.55472	2.28989	*
SMAD3	2.28457	2.34313	2.28457	*
DCAF12L2	2.2843	3.33251	2.2843	*
SLC32A1	2.27801	2.62931	2.27801	*
CDH8	2.27557	3.36205	2.27557	*
MAP2K4	2.25944	2.89485	2.25944	*
DHX30	2.24431	2.97242	2.24431	*
TENM1	2.23368	5.1878	2.23368	*
TRIM9	2.22818	2.75883	2.22818	*
ZNF536	2.22816	4.38346	2.22816	*
MAGI2	2.22537	2.75793	2.22537	*
EEF1A2	2.2124	2.31046	2.2124	*
HTR2C	2.20534	2.90747	2.20534	*
DCLK1	2.20153	3.2179	2.20153	*
ATP1A2	2.19485	3.30774	2.19485	*
MAGEC1	2.16199	3.30218	2.16199	*
SUPT16H	2.1383	2.2316	2.1383	*
XPO4	2.77781	2.1166	2.1166	-
NLGN4X	2.10417	3.55311	2.10417	*
SEC61A1	2.0932	2.28847	2.0932	*
MAP2K7	2.09105	2.56753	2.09105	*
KIRREL3	2.08138	2.21628	2.08138	*
