#GENE	BCOM_SCORE	1000G_SCORE	MIN_SCORE	ID
APC	55.1841	52.4616	52.4616	-
TP53	41.4628	45.5341	41.4628	*
KRAS	34.2821	31.4304	31.4304	-
PIK3CA	20.565	20.392	20.392	-
BRAF	10.1282	11.1741	10.1282	*
SMAD4	8.50491	8.57819	8.50491	*
SOX9	5.92568	7.51266	5.92568	*
RYR2	14.8655	5.61126	5.61126	-
GRIK2	6.23585	5.31239	5.31239	-
USP9X	5.04557	5.52404	5.04557	*
RNF43	10.1429	4.68222	4.68222	-
DSCAM	4.84617	4.58399	4.58399	-
CTNNB1	4.91958	4.5595	4.5595	-
ACVR2A	5.35596	4.37824	4.37824	-
ZFHX4	4.30817	5.23519	4.30817	*
PCDH17	5.08796	4.26255	4.26255	-
FBXW7	4.2261	6.40888	4.2261	*
ZNF814	10.0832	3.95635	3.95635	-
AMER1	3.94448	5.31239	3.94448	*
TSHZ3	4.42661	3.88299	3.88299	-
DOCK3	3.87084	4.75417	3.87084	*
CTNNA2	3.72615	4.66076	3.72615	*
PTEN	3.59546	5.89582	3.59546	*
PCDH10	3.7094	3.59515	3.59515	-
MTOR	3.63774	3.54375	3.54375	-
ROBO2	3.54101	3.67204	3.54101	*
GABRA5	3.53594	3.9707	3.53594	*
BRWD3	4.01023	3.49571	3.49571	-
FAT4	3.45406	7.30928	3.45406	*
CDH10	3.42086	5.25701	3.42086	*
LRFN5	3.39387	3.54827	3.39387	*
TENM1	3.6426	3.37594	3.37594	-
NALCN	3.75263	3.36871	3.36871	-
BMPR2	4.74904	3.36871	3.36871	-
ERICH6B	6.63592	3.35809	3.35809	-
SCN2A	3.27006	3.48704	3.27006	*
FRY	3.25296	3.58759	3.25296	*
NFASC	3.2497	3.37594	3.2497	*
TUBA3C	3.2425	3.6799	3.2425	*
ARID1A	3.20892	6.42247	3.20892	*
BIRC6	3.64731	3.20444	3.20444	-
ATM	3.64485	3.17858	3.17858	-
AR	7.03185	3.15402	3.15402	-
SMC1A	3.14778	3.36695	3.14778	*
PCDHA7	9.19871	3.12554	3.12554	-
STAG1	3.08687	3.99264	3.08687	*
ASH1L	3.91231	3.05364	3.05364	-
ATP2B2	3.05206	3.27807	3.05206	*
CDH2	3.01102	3.49571	3.01102	*
ITPR1	3.15049	3.00313	3.00313	-
KCNB2	3.54168	2.9984	2.9984	-
MAPRE3	2.99215	3.0557	2.99215	*
RNF145	3.36465	2.98618	2.98618	-
CD58	3.6891	2.98618	2.98618	-
TRPS1	2.9803	4.49748	2.9803	*
PREX2	2.99324	2.96524	2.96524	-
SLC8A2	2.95163	3.99264	2.95163	*
CDH9	2.92153	2.98618	2.92153	*
HECW1	2.86596	3.99438	2.86596	*
UBR5	2.9227	2.8615	2.8615	-
PHIP	2.8469	3.6799	2.8469	*
SULF1	2.83342	3.26773	2.83342	*
LRRK2	2.82565	4.87652	2.82565	*
SMAD3	3.22311	2.82385	2.82385	-
BCOR	2.93866	2.80417	2.80417	-
GLUD2	2.79497	4.3071	2.79497	*
TMEM132D	2.7688	3.31203	2.7688	*
KIAA1109	3.09632	2.74123	2.74123	-
FAT3	2.72114	3.88809	2.72114	*
KCNH1	2.70632	3.01146	2.70632	*
ZNF536	2.69957	4.24417	2.69957	*
UNC13C	2.69445	3.55269	2.69445	*
SMARCA4	2.69291	2.76059	2.69291	*
CYP7B1	2.69209	3.99264	2.69209	*
DENND4B	2.68907	3.08454	2.68907	*
RIMS2	2.68598	2.96526	2.68598	*
GLI3	3.43716	2.67882	2.67882	-
NRXN1	3.15982	2.67628	2.67628	-
CDH18	2.67341	3.27807	2.67341	*
SLITRK2	2.66036	3.01146	2.66036	*
SDK1	2.64432	3.7646	2.64432	*
PAX6	2.62681	3.0557	2.62681	*
PTPRT	3.6041	2.60068	2.60068	-
FBN1	2.59095	2.96526	2.59095	*
CACNA2D3	2.6847	2.57934	2.57934	-
MAP2K7	2.56761	3.36695	2.56761	*
KIF21A	2.56517	2.92863	2.56517	*
GRIA2	2.52901	4.3071	2.52901	*
ELMO1	3.11456	2.5275	2.5275	-
CSMD3	2.508	7.10354	2.508	*
KCNA1	2.50059	3.36695	2.50059	*
WBSCR17	3.33365	2.49376	2.49376	-
TRPC5	2.97281	2.49376	2.49376	-
CACNA2D1	2.86195	2.49376	2.49376	-
WASL	2.65596	2.4902	2.4902	-
PRKCI	2.85786	2.4902	2.4902	-
NOL4	2.58425	2.4902	2.4902	-
PCDHA2	2.48956	3.36871	2.48956	*
RYR3	2.48684	3.25683	2.48684	*
NYAP2	2.48682	3.82183	2.48682	*
KCNB1	2.48271	4.62264	2.48271	*
BTBD11	2.481	3.24064	2.481	*
MYO3A	2.48005	2.57011	2.48005	*
