#GENE	BCOM_SCORE	1000G_SCORE	MIN_SCORE	ID
MLLT3	1.60346	1.91165	1.60346	*
NUDT10	1.47793	1.50594	1.47793	*
ALG13	1.43665	1.67798	1.43665	*
MAML2	1.31337	1.43803	1.31337	*
XPOT	1.23918	1.80746	1.23918	*
MSN	1.8939	1.18137	1.18137	-
NBPF20	2.69964	0.98924	0.98924	-
MFSD14B	0.915062	1.40311	0.915062	*
PCDH17	0.900664	2.40521	0.900664	*
PCDHB3	0.805449	1.75801	0.805449	*
NCOA6	0.793449	2.03333	0.793449	*
PDE4DIP	0.899734	0.791276	0.791276	-
MUC4	0.775729	1.04349	0.775729	*
UPF3A	0.836234	0.760693	0.760693	-
RANBP2	0.964399	0.755691	0.755691	-
PCDH10	0.750966	1.90008	0.750966	*
PCMTD1	0.776506	0.734966	0.734966	-
SLITRK4	0.720457	0.75489	0.720457	*
EEF1B2	0.715974	0.827586	0.715974	*
PCDHB7	0.703564	1.19831	0.703564	*
FAM47A	0.697432	1.07468	0.697432	*
RIMS2	0.696823	1.0778	0.696823	*
TRPS1	0.677007	1.59971	0.677007	*
IFNA4	1.52463	0.657602	0.657602	-
GRIA4	0.652391	0.865551	0.652391	*
OR10A5	0.860492	0.640532	0.640532	-
PCDH15	0.631688	0.68393	0.631688	*
SHROOM4	0.805584	0.628604	0.628604	-
KRT6B	5.36012	0.628551	0.628551	-
PCDHA3	0.61898	0.986351	0.61898	*
EBF1	0.611869	0.685745	0.611869	*
ZNF565	0.611156	0.721611	0.611156	*
TMEM14B	2.69967	0.61051	0.61051	-
CHST11	0.689509	0.610109	0.610109	-
SNTG2	0.607551	1.0022	0.607551	*
SFMBT2	0.60704	1.00706	0.60704	*
TRPC4	0.597701	0.922909	0.597701	*
PCDHB1	0.596667	0.6014	0.596667	*
PCDHB8	0.587973	0.919646	0.587973	*
ERICH6	0.670216	0.582042	0.582042	-
HTR1A	0.578925	1.09298	0.578925	*
HYDIN	1.09316	0.574153	0.574153	-
ANKRD30A	0.568658	0.878115	0.568658	*
CCKBR	0.562685	0.811074	0.562685	*
SLC32A1	0.55995	0.604478	0.55995	*
MGAM	0.735702	0.559826	0.559826	-
PCDH19	0.557993	0.801475	0.557993	*
KMT2C	0.557202	1.10956	0.557202	*
EDNRB	0.555966	0.85138	0.555966	*
HRNR	0.551544	0.906736	0.551544	*
TPTE2	0.551436	0.574555	0.551436	*
TBP	1.37175	0.549742	0.549742	-
NBPF15	1.27305	0.543833	0.543833	-
FAM110B	0.534466	0.7421	0.534466	*
MTUS2	0.534022	1.27838	0.534022	*
POU3F4	0.531711	0.812859	0.531711	*
CDH9	0.530708	0.86993	0.530708	*
POTEC	1.58181	0.525725	0.525725	-
BRWD3	0.525493	1.35153	0.525493	*
FOXG1	0.52541	0.83743	0.52541	*
TCEB3CL	0.597634	0.523907	0.523907	-
SPRED2	0.521474	0.740495	0.521474	*
BRINP3	0.520012	0.558749	0.520012	*
KCNA1	0.519897	0.711097	0.519897	*
NGEF	0.518316	0.952254	0.518316	*
PCDHA2	0.513328	1.16058	0.513328	*
KIAA2022	0.512617	0.765288	0.512617	*
GGT1	0.511331	0.907274	0.511331	*
PCDHGA6	0.509702	1.76662	0.509702	*
C5orf42	0.509487	0.859529	0.509487	*
FAM124A	0.508656	0.615492	0.508656	*
PDZRN3	0.507177	0.878304	0.507177	*
CTNND2	0.503551	0.922867	0.503551	*
ACTRT1	0.497346	0.680494	0.497346	*
PCDHA5	0.495355	0.72102	0.495355	*
FEZF2	0.493822	0.622181	0.493822	*
PCDHGA1	0.493509	0.948289	0.493509	*
CBWD1	0.617714	0.493458	0.493458	-
SUPT20H	0.491098	0.831335	0.491098	*
FAM47B	0.4872	1.25376	0.4872	*
CDH8	0.486806	0.606744	0.486806	*
COX10	5.68227	0.486248	0.486248	-
GRIA3	0.482745	0.507257	0.482745	*
MMP20	0.478593	0.912956	0.478593	*
ZFHX4	0.472175	1.88592	0.472175	*
LRRC37A3	2.36324	0.469795	0.469795	-
CYLD	0.517246	0.468691	0.468691	-
KCNJ18	0.604876	0.468251	0.468251	-
MAB21L2	0.46699	0.513169	0.46699	*
ASAH2B	0.915287	0.465628	0.465628	-
PGBD4	0.465441	0.556226	0.465441	*
FAM47C	0.463591	0.692768	0.463591	*
SFRP4	0.457831	0.527728	0.457831	*
STK33	0.455819	0.470329	0.455819	*
GRM8	0.455724	0.665927	0.455724	*
